title,price,description
"LAPTOP ASUS VIVOBOOK GO 14 E1404FA VIPS5152M VIPS5153M : AMD R5-7520U 16GB 512GB VIPS WIN 11+OHS+M365 - GREEN GRAY, UNIT ONLY",Rp7.899.000,"NOTE : * BARANG DARI MDP SUPERSTORE SUDAH PASTI 100% BARU, SEGEL GARANSI RESMI * UNTUK PRODUK BESAR SEPERTI KULKAS,TV,MESIN CUCI,AC,DLL DIKIRIM MELALUI KURIR TOKO/AMBIL SENDIRI * PEMBELIAN DILUAR KOTA HARAP DI KONFIRMASI TERLEBIH DAHULU HARGA TIDAK TERMASUK ONGKIR DALAM KOTA DAN LUAR KOTA * PACKING AMAN, BARANG DIJAMIN ORIGINAL, TOKO AMANAH * WAJIB UNTUK UNBOXING VIDEO, TANPA VIDEO UNBOXING KOMPLAIN TIDAK DITERIMA * UNTUK KURIR TOKO BERLAKU HANYA UNTUK PRODUK BESAR, LAIN DARI ITU DI KENAKAN ONGKOS KIRIM SESUAI ALAMAT *MOHON UNTUK MENANYAKAN STOCK TERLEBIH DAHULU *WAJIB VIDEO UNBOXING BARANG SAMPAI DI HIDUPKAN "" CHAT ADMIN SEBELUM CEKOUT "" ( Ongkir pengiriman , Wilayah kirim , Stock , warna , dll.. ) LAPTOP ASUS VIVOBOOK GO 14 E1404FA VIPS5152M VIPS5153M : AMD R5-7520U 16GB 512GB VIPS WIN 11+OHS+M365 SKU : E1404FA-VIPS5152M (GREEN GRAY) E1404FA-VIPS5153M (COOL SILVER) Operating System : Windows 11 Home Office : Microsoft Office Home & Student 2021 + Microsoft 365 Basic LCD cover-material : Plastic LCD cover-color : Green Gray/Cool Silver Military grade : US MIL-STD 810H military-grade standard Touch Panel : Non-touch screen Display : 14.0-inch FHD (1920 x 1080) 16:9 aspect ratio LED Backlit IPS-level Panel 60Hz refresh rate 250nits 45% NTSC color gamut Anti-glare display Screen-to-body ratio : 83% Processor : AMD Ryzen 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads) Intergrated GPU : AMD Radeon Graphics Graphics : N/A VRAM : N/A Total System Memory : LPDDR5 16GB On board memory : 16GB LPDDR5 on board DIMM Memory : N/A Storage : 512GB M.2 NVMe PCIe 3.0 SSD How to upgrade memory : N/A Expansion Slot(includes used) : 1x M.2 2280 PCIe 3.0x2 Front-facing camera : 720p HD camera With privacy shutter Wireless : Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth 5.3 Wireless Card Keyboard type : Backlit Chiclet Keyboard NumberPad : N/A ScreenPad : N/A FingerPrint : FingerPrint I/O ports : 1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in Audio : SonicMaster Built-in speaker Built-in array microphone Voice control with Cortana voice-recognition support AC Adapter : ø4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal Battery : 42WHrs, 3S1P, 3-cell Li-ion Dimension (WxHxD) : 32.55 x 21.39 x 1.79 ~ 1.79 cm"
Lenovo Ideapad slim 1 ATHLON 7120 Ram 8GB 256GB SSD Win11+OHS 14.0 - Unit Only,Rp5.137.000,"Selamat Datang Di OPTIMA TECH STORE BEKASI : Silahkan Cek Etalase kami kak Laptop terbarunya, Buat Editing ,Kerja,Gaming Dan Laptop Buat Sekolah-nya. Kami menyediakan Semua Brand Mulai Dari Brand Global & Local, pastinya barang yang kita jual 100% Original ya kak. * Garansi Resmi Lenovo indonesia 2 Tahun Service & Sparepats * Terima pemeblian jumlah besar/Project * Terima Bikin Paktor Pajak Spesifikasi : Processor : AMD Athlon Silver 7120U (2C / 2T, 2.4 / 3.5GHz, 1MB L2 / 2MB L3) Graphics : Integrated AMD Radeon 610M Graphics Display : 14.0 HD Resolusi Layar (1366x768) TN 220nits Anti-glare Chipset : AMD SoC Platform Memory : 8GB Soldered LPDDR5-5500 Memory Slots : Memory soldered to systemboard, no slots, dual-channel Max Memory : 8GB soldered memory, not upgradable Storage : 256GB SSD M.2 2242 PCIe 4.0x4 NVMe Storage Support : One drive, up to 1TB M.2 2242 SSD Storage Slot : One M.2 2280 PCIe 3.0 x2 slot Card Reader : 4-in-1 Card Reader Optical : None Audio Chip : High Definition (HD) Audio Speakers : Stereo speakers, 1.5W x2, Dolby Audio Camera : HD 720p with Privacy Shutter Microphone : 2x, Array Battery : Integrated 42Wh Max Battery Life : ""MobileMark 2018: 9.86 hr Local video (1080p) playback@150nits: 17.35 hr"" Power Adapter : 65W Round Tip (3-pin) DESIGN Touchscreen : None Keyboard : Non-backlit, English Case Color : Cloud Grey Surface Treatment : IMR (In-Mold Decoration by Roller) Case Material : PC-ABS (Top), PC-ABS (Bottom) Dimensions (WxDxH) : 325.3 x 216.5 x 17.9 mm (12.8 x 8.52 x 0.70 inches) Weight : Starting at 1.38 kg (3.04 lbs) Port : 1x USB 2.0 1x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (support data transfer only) 1x HDMI 1.4b 1x Card reader 1x Headphone / microphone combo jack (3.5mm) 1x Power connectort"
"HP PAVILION X360 14 EK1005TU i5-1335U 16GB 512GBSSD 14.0 Touch FHD IPS - Unit Only, Silver",Rp12.241.000,"Selamat Datang Di OPTIMA TECH STORE BEKASI : Silahkan Cek Etalase kami kak Laptop terbarunya, Buat Editing ,Kerja,Gaming Dan Laptop Buat Sekolah-nya. Kami menyediakan Semua Brand Mulai Dari Brand Global & Local, pastinya barang yang kita jual 100% Original ya kak. * Garansi 2 Tahun Resmi HP indonesia Service & Sparepats + 2THN ADP * Garansi 5 Hari tukar unit baru setelah barang diterima * Terima pemeblian jumlah besar/Project * Terima Bikin Paktor Pajak * Pengiriman Cepat dan Aman. * Master Dealer Spesifikasi : Processor : Intel Core i5-1335U (up to 4.7 GHz with Intel Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads) Display: 14.0-inch diagonal, FHD (1920 x 1080), multitouch-enabled, IPS, edge-to-edge glass, micro-edge, 250 nits, 45% NTSC Ram : 16 GB DDR4-3200 MHz RAM (onboard) Storage : 512 GB PCIe NVMe M.2 SSD Graphics : Intel Iris Xᵉ Graphics Keyboard : Full-size, backlit, natural silver keyboard Wireless : Wi-Fi 6 (2×2) and Bluetooth 5.2 combo Camera : HP True Vision 5MP camera with camera shutter, Audio : by B&O; Dual speakers; HP Audio Boost Battery type : 3-cell, 43 Wh Li-ion polymer, 65 W Smart AC power adapter Oprating Sistem : Windows 11 Home+ Office Home Student 2021 Free : Bag Slevcase Ports : 1 SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge); 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 AC smart pin; 1 headphone/microphone combo; 1 microSD media card reader Kelengkapan : * Unit Laptop * Adaptor * Kartu Garansi * Box Laptop JANGAN RAGU BELI DISINI KARENA : * Pengiriman cepat * sebelum barang dikirim kami cek untuk menjamin kualitasnya * Kami memiliki alamat jelas (toko offline) * FREE bonus tambahan dan install aplikasi, * Di dukung oleh berbagai Ekspedisi populer * Mudah diajak berdiskusi jika barang yang diterima bermasalah. NOTE : +PAKET Proteksi = pembelian unit laptop yang di sertakan pemasangan perlindungan anti baret & debu."
"HP 14 N4500 8GB 512GB W11+OHS 14.0FHD BLIT - Unit, 8GB | 512SSD",Rp5.049.000,"SELAMAT DATANG DI BESTCOMP46 Kenapa Beli Di BESTCOMP46 ? * Barang dan Aksesoris 100% original (Tidak original bisa di retur atau uang 100% kembali) * Pengiriman cepat dalam jakarta bisa menggunakan GO-JEK/GRAB - Instan Kurir * TRUSTED SELLER, bukan seller musiman yg abis jual barangnya hilang entah kemana jadi ga usah khawatir kami memiliki toko fisik dan alamat jelas. Mohon Untuk Membaca Deskripsi Terlebih Dahulu sebelum memesan pesanan HP 14 N4500 4GB 512GB W11+OHS 14.0FHD BLIT 2Y SLV -DQ3133TU HP 14 N4500 8GB 512GB W11+OHS 14.0FHD BLIT 2Y SLV -DQ3888TU Spesifikasi : Processor : Intel Celeron N4500 (up to 2.8 GHz burst frequency, 4 MB L3 cache, 2 cores, 2 threads) Display : 35.6 cm (14″) diagonal, HD (1366 x 768), micro-edge, BrightView, 250 nits, 45% NTSC RAM : 8 GB DDR4-2933 MHz RAM (1 x 8 GB) Storage : 512 GB PCIe NVMe M.2 SSD Graphics : Intel UHD Graphics Keyboard : Full-size, backlit, natural silver keyboard Wireless : Realtek RTL8822CE 802.11a/b/g/n/ac (2×2) Wi-Fi and Bluetooth 5 Ports : 1 SuperSpeed USB Type-C 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 1.4b; 1 AC smart pin; 1 headphone/microphone combo; 1 multi-format SD media card reader Webcam : HP True Vision 720p HD camera with integrated dual array digital microphones Audio : Dual speakers Battery : 3-cell, 41 Wh Li-ion, 45 W Smart AC power adapter OS : Win 11 Home + Office Home Student 2021 Free : Bag BUNDLING : - UNIT : unit + charger + kartu ganrsi + dus + tas - PLUS PAKET : unit +tas + antigores depan + belakang + clean kit - PLUS BASIC : unit +tas + mouse wireless + mousepad + sleeve carbon - PAKET COMBO : unit +tas + antigores depan + belakang + clean kit + mouse wireless + mousepad + sleeve carbon GARANSI : ►Garansi Resmi 2 Tahun ►Garansi Toko 5 Hari sejak barang di terima customer jika ada kerusakan yg diakibatkan cacat pabrik. NOTE : - Pesanan yang masuk akan kami proses cepat , dan sesuai dengan yang di inginkan buyer - WAJIB tanyakan stok sebelum melakukan Checkout. - Sertakan warna cadangan, jika stok yang dipesan habis tanpa ada warna cadangan akan kami kirim random. - Pengiriman Via Kurir Instant Maksimal Order Pukul 15.00 ( Senin - Sabtu ), Jika pesanan sedang overload dikirim hari berikutnya."
"Axioo Hype 1 Celeron N4020 4GB 8GB / 128GB 384GB 14"" HD W11 - GREY 4/128GB",Rp2.993.000,"Setiap Pembelian Laptop Free : 1. Install Office ------------------------------------------------- Kenapa banyak yang udah cocok belanja di sini? - Barang original & garansi resmi – Nggak perlu ragu, semua produk dijamin asli dan aman. - Garansi toko 7 hari – Kalau ada kendala dari pabrik, bisa langsung tukar (asal ada video unboxing ya!). - Asuransi pengiriman otomatis – Barang kamu langsung diasuransiin saat dikirim. - Aftersales siap membantu – Ada kendala? Tinggal chat, tim kami siap bantuin sampai beres. - Rekomendasi Seller Pilihan – Banyak yang langganan karena pelayanan kami cepat, ramah, dan terpercaya ------------------------------------------------- SPESIFIKASI: Processor: Intel Celeron Pocessor N4020(1.1GHz Base, 2.8GHz Burst, 2 Core 2 Threads, Base TDP: 6W) Graphics Intel UHD Graphics 600 Display 14.1"" inch TN (16:9) Resolution HD 1366x768 Memory 4GB / 8GB DDR4 (SODIMM DDR4 up to 2400MHz) Storage 128GB / 384GB OS Windows 11 Power Management: - AC Adapter 12V/2A - Embedded cells Lithium-ion polymer battery pack, 7.6V, 38Wh, 5000mAh Connection: - Wi-Fi Intel 9560 a/b/g/n/ac - Bluetooth 5.1 Camera Front : 2Mpx Sound System : - HD Audio - Built-in Microphone I/O Ports: 2x USB 3.0 ports 1x USB 2.0 port 2x USB 3.0 Type C ports (Data Only) 1x 3.5mm 2-in-1 Audio Combo Jack 1xHDMI output port 1x DC-in jack port #PRODUK# * Barang BNIB ( Brand New In Box ) NEW ORIGINAL DAN SEGEL * Garansi RESMI 1 Tahun Axioo Indonesia * Garansi Personal 7x24 Jam [ Jika saat barang di terima ada cacat produksi, unit kita ganti baru ]"
"ASUS VIVOBOOK GO 14 E1404FA-VIPS5151M - RYZEN 5-7520U 16GB 512GB 14""VIPS W11 OHS",Rp9.342.000,"ASUS VIVOBOOK GO 14 E1404FA-VIPS5151M - RYZEN 5-7520U| 16GB| 512GB SSD| 14""VIPS| WINDOWS 11 + OFFICE HOME STUDENT 2021 Pilihan Warna : MIXED BLACK Spesifikasi : - Processor : AMD Ryzen 5-7520U Processor (4M Cache, 4 Cores, 2.8GHz Up To 4.3GHz) - Graphic : AMD Radeon Graphics - Memory : 16GB LPDDR5 On-Board - Internal Storage : 512GB SSD M.2 NVMe PCIe 3.0 - Screen : 14""FHD (1920 x 1080) (16:9) Aspect Ratio, LED-Backlit, IPS Level-Panel, Anti-Glare Display, 60Hz, 250Nits, 45%NTSC, Screen-To-Body Ratio 83% - Keyboard : Backlit Chiclet Keyboard - Konektivity : Wi-Fi 6E (802.11ac) (Dual Band) 1*1 & Bluetooth 5.3 Wireless Card - Battery : 3-Cell Li-Ion, 3S1P, 42WHrs, - Dimensions : 32.45 x 21.39 x 1.79 ~ 1.79Cm, 1.38Kg - Interface : 1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C 1x Combo Audio Jack 3.5Mm 1x HDMI 1.4 1x DC-In - Sistem Operasi : WIN11 + OHS Windows 11 Home Free Office Home & Student 2021 Isi Dalam Dus - Unit Utama - Charger - Kartu Garansi - Buku Manual - Bag Asus Garansi Resmi ASUS 2 TAHUN INDONESIA"
ADVAN LAPTOP 2 IN 1 EVO-X 16 | I3-1215U 12GB/512GB 2.5K IPS 100% SRGB FREE WINDOWS 11,Rp7.299.000,Spesifikasi : Display : 16” inch IPS 2560 x 1600 CPU : Intel Core i3-1215U GPU : Intel UHD Graphics Memory : 12GB LPDDR5 Storage : 512GB NVMe Camera : HD Cameras on front and rear Connection : Wifi 802.11 b/g/n/ac 2.4GHz/5GHz Bluetooth Version : 5.0 Battery : 6000mAH 7.6V Free Keyboard with Magnetic Connection & Stylus Pen Port Variants : 1x DC Port 2x USB 3.2 Gen 1 1x Audio Port 2x Type-C FREE WINDOWS 11 HOME ORIGINAL GARANSI RESMI 12 BULAN ADVAN INDONESIA Isi dalam kemasan : 1x Laptop Evo-X 16 1x Kartu Garansi 1x Manual Book 1x Adapter
"Asus Vivobook Go 15 E1504FA RYZEN 5 7520 16GB 512GB W11+OHS+M365B 15.6FHD - SILVER, UNIT ONLY",Rp8.299.000,"SELAMAT DATANG DI BESTCOMP46 Kenapa Beli Di BESTCOMP46 ? * Barang dan Aksesoris 100% original (Tidak original bisa di retur atau uang 100% kembali) * Pengiriman cepat dalam jakarta bisa menggunakan GO-JEK/GRAB - Instan Kurir * TRUSTED SELLER, bukan seller musiman yg abis jual barangnya hilang entah kemana jadi ga usah khawatir kami memiliki toko fisik dan alamat jelas. * Menerima untuk pengadaan laptop pemerintah dan perusahaan Mohon Untuk Membaca Deskripsi Terlebih Dahulu sebelum memesan pesanan ASUS VIVOBOOK GO 15 E1504FA RYZEN 5 7520 16GB 512GB W11+OHS+M365B 15.6FHD BLK -VIPS5151M ASUS VIVOBOOK GO 15 E1504FA RYZEN 5 7520 16GB 512GB W11+OHS+M365B 15.6FHD SLV -VIPS5153M Spesifikasi : Processor : AMD Ryzen 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads) Graphics : AMD Radeon Graphics Memory : 16GB LPDDR5 on board Storage : 512GB M.2 NVMe PCIe 3.0 SSD Speakers : SonicMaster Built-in speaker Built-in array microphone with Cortana voice-recognition support Battery : 42WHrs, 3S1P, 3-cell Li-ion, 45W AC Adapter Display : 15.6-inch FHD (1920 x 1080) IPS 16:9 aspect ratio, 60Hz refresh rate, 250nits, 45% DCI-P3 color gamut, Anti-glare display, Screen-to-body ratio: 84% Keyboard : Backlit Chiclet Keyboard + FingerPrint Operating System : Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic Warranty : Garansi Resmi 2 Tahun I/O Port : 1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in BUNDLING : - UNIT : unit + charger + kartu ganrsi + dus + tas - PLUS PAKET : unit +tas + antigores depan + belakang + clean kit - PLUS BASIC : unit +tas + mouse wireless + mousepad + sleeve carbon - PAKET COMBO : unit +tas + antigores depan + belakang + clean kit + mouse wireless + mousepad + sleeve carbon GARANSI : ►Garansi Resmi 2 Tahun ►Garansi Toko 5 Hari sejak barang di terima customer jika ada kerusakan yg diakibatkan cacat pabrik. NOTE : - Pesanan yang masuk akan kami proses cepat , dan sesuai dengan yang di inginkan buyer - WAJIB tanyakan stok sebelum melakukan Checkout. - Sertakan warna cadangan, jika stok yang dipesan habis tanpa ada warna cadangan akan kami kirim random. - Pengiriman Via Kurir Instant Maksimal Order Pukul 15.00 ( Senin - Sabtu ), Jika pesanan sedang overload dikirim hari berikutnya."
"ASUS VIVOBOOK GO 14 E1404GA-FHD351M - i3-N305 8GB 512GB 14"" FHD W11 OHS - NON PAKET",Rp6.303.000,"ASUS VIVOBOOK GO 14 E1404GA-FHD351M - INTEL I3-N305| 8GB| 512GB SSD| 14""FHD| WINDOWS 11 + OFFICE HOME STUDENT 2021 Pilihan Warna : MIXED BLACK Spesifikasi : - Processor : Intel Core i3-N305 Processor (6M Cache, 8 Cores 1.8GHz Up To 3.8GHz) - Graphic : Intel UHD Graphics - Memori : 8GB LPDDR4 On-Board - Internal Storage : 512GB SSD M.2 NVMe PCIe 3.0 - Screen : 14"" FHD (1920 x 1080)(16:9) Aspect Ratio, LED Backlit, 60Hz, 250Nits, 45%NTSC, Anti-Glare Display, Screen-To-Body Ratio 83% - Keyboard : Backlit Chiclet Keyboard - Konektivity : Wi-Fi 6E (802.11ax) (Dual Band) 1*1 & Bluetooth 5.3 Wireless Card - Battery : 3-Cell Li-Ion 3S1P, 42WHrs, - Dimensions : 32.49 x 21.39 x 1.79 ~ 1.79Cm, 1.38Kg - Interface : 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C 1x USB 2.0 Type-A 1x Combo Audio Jack 3.5Mm 1x HDMI 1.4 1x DC-In - Sistem Operasi : WIN11 + OHS Windows 11 Home Free Office Home & Student 2021 Isi Dalam Dus - Unit Utama - Charger - Kartu Garansi - Buku Manual - Bag Asus Garansi Resmi ASUS 2 TAHUN INDONESIA"
"HP Pavilion PLUS 14 Core EVO i5-1355 Ram 16GB 512SSD 14.0 WUXGA W11 - Unit Only, BLUE",Rp11.604.000,"Selamat Datang Di OPTIMA TECH STORE BEKASI : Silahkan Cek Etalase kami kak Laptop terbarunya, Buat Editing ,Kerja,Gaming Dan Laptop Buat Sekolah-nya. Kami menyediakan Semua Brand Mulai Dari Brand Global & Local, pastinya barang yang kita jual 100% Original ya kak. * Menerima pembelian dalam jumlah banyak atau Project * Bisa request faktur pajak NOTE BELUM INTEL EVO Spesifikasi : •Processor : Prosesor Intel Core i5-1355U (Cache 12 M, hingga 5,00 GHz) •Graphic Card : Intel UHD Graphic IRIS XE •Memory : 16GB DDR4-3200 onboard •Storage : 512GB M.2 NVMe PCIe 4.0 SSD •Display: 14.0"" WUXGA (1920x1200), Antiglare, IPS 300 nits •Operating System : Windows 11 Home + Microsoft Office Home & Student 2021 •Keyboard : Backlit •Camera : HP True Vision 5MP camerawith temporal noise reduction and integrated dual array digital microphones •Audio : Audio by B&O, Dual speakers, HP Audio Boost •Networking : Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3 •I/O Ports : 2x USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge) 2x USB Type-A 5Gbps signaling rate 1x HDMI 2.1 1x headphone/microphone combo •Battery : 3-cell, 51 Wh Li-ion polymer •Power Adapter : 90W adapter •Weight : 1.40 kg •Dimension : 31.35 x 22.42 x 1.65 (front) – 1.84 (rear) cm NOTE : +PAKET Proteksi = pemblian unit laptop yang di sertakan pmasangan perlindungan anti baret & debu, sehingga laptop tersbut awet untuk pmakaian jangka panjang, pemasang dilakukan oleh teknisi kami ya :)"
